Timestamp (ms),Latitude (deg),Longitude (deg),Altitude (m),Yaw (deg),Pitch (deg),Roll (deg)
10100,42.2677,-5.3301,830,0,0,0
10200,42.2677,-5.3301,830,0,0,0
10300,42.2677,-5.3301,830,0,0,0
10400,42.2677,-5.3301,830,0,0,0
10500,42.2677,-5.3301,830,0,0,0
10600,42.2677,-5.3301,830,0,0,0
10700,42.2677,-5.3301,830,0,0,0
10800,42.2677,-5.3301,830,0,0,0
10900,42.2677,-5.3301,830,0,0,0
11000,42.2677,-5.3301,830,0,0,0
11100,42.2677,-5.3301,830,0,0,0
11200,42.2677,-5.3301,830,0,0,0
11300,42.2677,-5.3301,830,0,0,0
11400,42.2677,-5.3301,830,0,0,0
11500,42.2677,-5.3301,830,0,0,0
11600,42.2677,-5.3301,830,0,0,0
11700,42.2677,-5.3301,830,0,0,0
11800,42.2677,-5.3301,830,0,0,0
11900,42.2677,-5.3301,830,0,0,0
12000,42.2677,-5.3301,830,0,0,0
12100,42.2677,-5.3301,830,0,0,0
12200,42.2677,-5.3301,830,0,0,0
12300,42.2677,-5.3301,830,0,0,0
12400,42.2677,-5.3301,830,0,0,0
12500,42.2677,-5.3301,830,0,0,0
12600,42.2677,-5.3301,830,0,0,0
12700,42.2677,-5.3301,830,0,0,0
12800,42.2677,-5.3301,830,0,0,0
12900,42.2677,-5.3301,830,0,0,0
13000,42.2677,-5.3301,830,0,0,0
13100,42.2677,-5.3301,830,0,0,0
13200,42.2677,-5.3301,830,0,0,0
13300,42.2677,-5.3301,830,0,0,0
13400,42.2677,-5.3301,830,0,0,0
13500,42.2677,-5.3301,830,0,0,0
13600,42.2677,-5.3301,830,0,0,0
13700,42.2677,-5.3301,830,0,0,0
13800,42.2677,-5.3301,830,0,0,0
13900,42.2677,-5.3301,830,0,0,0
14000,42.2677,-5.3301,830,0,0,0
14100,42.2677,-5.3301,830,0,0,0
14200,42.2677,-5.3301,830,0,0,0
14300,42.2677,-5.3301,830,0,0,0
14400,42.2677,-5.3301,830,0,0,0
14500,42.2677,-5.3301,830,0,0,0
14600,42.2677,-5.3301,830,0,0,0
14700,42.2677,-5.3301,830,0,0,0
14800,42.2677,-5.3301,830,0,0,0
14900,42.2677,-5.3301,830,0,0,0
15000,42.2677,-5.3301,830,0,0,0
15100,42.2677,-5.3301,830,0,0,0
15200,42.2677,-5.3301,830,0,0,0
15300,42.2677,-5.3301,830,0,0,0
15400,42.2677,-5.3301,830,0,0,0
15500,42.2677,-5.3301,830,0,0,0
15600,42.2677,-5.3301,830,0,0,0
15700,42.2677,-5.3301,830,0,0,0
15800,42.2677,-5.3301,830,0,0,0
15900,42.2677,-5.3301,830,0,0,0
16000,42.2677,-5.3301,830,0,0,0
16100,42.2677,-5.3301,830,0,0,0
16200,42.2677,-5.3301,830,0,0,0
16300,42.2677,-5.3301,830,0,0,0
16400,42.2677,-5.3301,830,0,0,0
16500,42.2677,-5.3301,830,0,0,0
16600,42.2677,-5.3301,830,0,0,0
16700,42.2677,-5.3301,830,0,0,0
16800,42.2677,-5.3301,830,0,0,0
16900,42.2677,-5.3301,830,0,0,0
17000,42.2677,-5.3301,830,0,0,0
17100,42.2677,-5.3301,830,0,0,0
17200,42.2677,-5.3301,830,0,0,0
17300,42.2677,-5.3301,830,0,0,0
17400,42.2677,-5.3301,830,0,0,0
17500,42.2677,-5.3301,830,0,0,0
17600,42.2677,-5.3301,830,0,0,0
17700,42.2677,-5.3301,830,0,0,0
17800,42.2677,-5.3301,830,0,0,0
17900,42.2677,-5.3301,830,0,0,0
18000,42.2677,-5.3301,830,0,0,0
18100,42.2677,-5.3301,830,0,0,0
18200,42.2677,-5.3301,830,0,0,0
18300,42.2677,-5.3301,830,0,0,0
18400,42.2677,-5.3301,830,0,0,0
18500,42.2677,-5.3301,830,0,0,0
18600,42.2677,-5.3301,830,0,0,0
18700,42.2677,-5.3301,830,0,0,0
18800,42.2677,-5.3301,830,0,0,0
18900,42.2677,-5.3301,830,0,0,0
19000,42.2677,-5.3301,830,0,0,0
19100,42.2677,-5.3301,830,0,0,0
19200,42.2677,-5.3301,830,0,0,0
19300,42.2677,-5.3301,830,0,0,0
19400,42.2677,-5.3301,830,0,0,0
19500,42.2677,-5.3301,830,0,0,0
19600,42.2677,-5.3301,830,0,0,0
19700,42.2677,-5.3301,830,0,0,0
19800,42.2677,-5.3301,830,0,0,0
19900,42.2677,-5.3301,830,0,0,0
20000,42.2677,-5.3301,830,0,0,0
20100,42.2677,-5.3301,830,0,0,0
20200,42.2677,-5.3301,830,0,0,0
20300,42.2677,-5.3301,830,0,0,0
20400,42.2677,-5.3301,830,0,0,0
20500,42.2677,-5.3301,830,0,0,0
20600,42.2677,-5.3301,830,0,0,0
20700,42.2677,-5.3301,830,0,0,0
20800,42.2677,-5.3301,830,0,0,0
20900,42.2677,-5.3301,830,0,0,0
21000,42.2677,-5.3301,830,0,0,0
21100,42.2677,-5.3301,830,0,0,0
21200,42.2677,-5.3301,830,0,0,0
21300,42.2677,-5.3301,830,0,0,0
21400,42.2677,-5.3301,830,0,0,0
21500,42.2677,-5.3301,830,0,0,0
21600,42.2677,-5.3301,830,0,0,0
21700,42.2677,-5.3301,830,0,0,0
21800,42.2677,-5.3301,830,0,0,0
21900,42.2677,-5.3301,830,0,0,0
22000,42.2677,-5.3301,830,0,0,0
22100,42.2677,-5.3301,830,0,0,0
22200,42.2677,-5.3301,830,0,0,0
22300,42.2677,-5.3301,830,0,0,0
22400,42.2677,-5.3301,830,0,0,0
22500,42.2677,-5.3301,830,0,0,0
22600,42.2677,-5.3301,830,0,0,0
22700,42.2677,-5.3301,830,0,0,0
22800,42.2677,-5.3301,830,0,0,0
22900,42.2677,-5.3301,830,0,0,0
23000,42.2677,-5.3301,830,0,0,0
23100,42.2677,-5.3301,830,0,0,0
23200,42.2677,-5.3301,830,0,0,0
23300,42.2677,-5.3301,830,0,0,0
23400,42.2677,-5.3301,830,0,0,0
23500,42.2677,-5.3301,830,0,0,0
23600,42.2677,-5.3301,830,0,0,0
23700,42.2677,-5.3301,830,0,0,0
23800,42.2677,-5.3301,830,0,0,0
23900,42.2677,-5.3301,830,0,0,0
24000,42.2677,-5.3301,830,0,0,0
24100,42.2677,-5.3301,830,0,0,0
24200,42.2677,-5.3301,830,0,0,0
24300,42.2677,-5.3301,830,0,0,0
24400,42.2677,-5.3301,830,0,0,0
24500,42.2677,-5.3301,830,0,0,0
24600,42.2677,-5.3301,830,0,0,0
24700,42.2677,-5.3301,830,0,0,0
24800,42.2677,-5.3301,830,0,0,0
24900,42.2677,-5.3301,830,0,0,0
25000,42.2677,-5.3301,830,0,0,0
25100,42.2677,-5.3301,830,0,0,0
25200,42.2677,-5.3301,830,0,0,0
25300,42.2677,-5.3301,830,0,0,0
25400,42.2677,-5.3301,830,0,0,0
25500,42.2677,-5.3301,830,0,0,0
25600,42.2677,-5.3301,830,0,0,0
25700,42.2677,-5.3301,830,0,0,0
25800,42.2677,-5.3301,830,0,0,0
25900,42.2677,-5.3301,830,0,0,0
26000,42.2677,-5.3301,830,0,0,0
26100,42.2677,-5.3301,830,0,0,0
26200,42.2677,-5.3301,830,0,0,0
26300,42.2677,-5.3301,830,0,0,0
26400,42.2677,-5.3301,830,0,0,0
26500,42.2677,-5.3301,830,0,0,0
26600,42.2677,-5.3301,830,0,0,0
26700,42.2677,-5.3301,830,0,0,0
26800,42.2677,-5.3301,830,0,0,0
26900,42.2677,-5.3301,830,0,0,0
27000,42.2677,-5.3301,830,0,0,0
27100,42.2677,-5.3301,830,0,0,0
27200,42.2677,-5.3301,830,0,0,0
27300,42.2677,-5.3301,830,0,0,0
27400,42.2677,-5.3301,830,0,0,0
27500,42.2677,-5.3301,830,0,0,0
27600,42.2677,-5.3301,830,0,0,0
27700,42.2677,-5.3301,830,0,0,0
27800,42.2677,-5.3301,830,0,0,0
27900,42.2677,-5.3301,830,0,0,0
28000,42.2677,-5.3301,830,0,0,0
28100,42.2677,-5.3301,830,0,0,0
28200,42.2677,-5.3301,830,0,0,0
28300,42.2677,-5.3301,830,0,0,0
28400,42.2677,-5.3301,830,0,0,0
28500,42.2677,-5.3301,830,0,0,0
28600,42.2677,-5.3301,830,0,0,0
28700,42.2677,-5.3301,830,0,0,0
28800,42.2677,-5.3301,830,0,0,0
28900,42.2677,-5.3301,830,0,0,0
29000,42.2677,-5.3301,830,0,0,0
29100,42.2677,-5.3301,830,0,0,0
29200,42.2677,-5.3301,830,0,0,0
29300,42.2677,-5.3301,830,0,0,0
29400,42.2677,-5.3301,830,0,0,0
29500,42.2677,-5.3301,830,0,0,0
29600,42.2677,-5.3301,830,0,0,0
29700,42.2677,-5.3301,830,0,0,0
29800,42.2677,-5.3301,830,0,0,0
29900,42.2677,-5.3301,830,0,0,0
30000,42.2677,-5.3301,830,0,0,0
30100,42.2677,-5.3301,830,0,0,0
30200,42.2677,-5.3301,830,0,0,0
30300,42.2677,-5.3301,830,0,0,0
30400,42.2677,-5.3301,830,0,0,0
30500,42.2677,-5.3301,830,0,0,0
30600,42.2677,-5.3301,830,0,0,0
30700,42.2677,-5.3301,830,0,0,0
30800,42.2677,-5.3301,830,0,0,0
30900,42.2677,-5.3301,830,0,0,0
31000,42.2677,-5.3301,830,0,0,0
31100,42.2677,-5.3301,830,0,0,0
31200,42.2677,-5.3301,830,0,0,0
31300,42.2677,-5.3301,830,0,0,0
31400,42.2677,-5.3301,830,0,0,0
31500,42.2677,-5.3301,830,0,0,0
31600,42.2677,-5.3301,830,0,0,0
31700,42.2677,-5.3301,830,0,0,0
31800,42.2677,-5.3301,830,0,0,0
31900,42.2677,-5.3301,830,0,0,0
32000,42.2677,-5.3301,830,0,0,0
32100,42.2677,-5.3301,830,0,0,0
32200,42.2677,-5.3301,830,0,0,0
32300,42.2677,-5.3301,830,0,0,0
32400,42.2677,-5.3301,830,0,0,0
32500,42.2677,-5.3301,830,0,0,0
32600,42.2677,-5.3301,830,0,0,0
32700,42.2677,-5.3301,830,0,0,0
32800,42.2677,-5.3301,830,0,0,0
32900,42.2677,-5.3301,830,0,0,0
33000,42.2677,-5.3301,830,0,0,0
33100,42.2677,-5.3301,830,0,0,0
33200,42.2677,-5.3301,830,0,0,0
33300,42.2677,-5.3301,830,0,0,0
33400,42.2677,-5.3301,830,0,0,0
33500,42.2677,-5.3301,830,0,0,0
33600,42.2677,-5.3301,830,0,0,0
33700,42.2677,-5.3301,830,0,0,0
33800,42.2677,-5.3301,830,0,0,0
33900,42.2677,-5.3301,830,0,0,0
34000,42.2677,-5.3301,830,0,0,0
34100,42.2677,-5.3301,830,0,0,0
34200,42.2677,-5.3301,830,0,0,0
34300,42.2677,-5.3301,830,0,0,0
34400,42.2677,-5.3301,830,0,0,0
34500,42.2677,-5.3301,830,0,0,0
34600,42.2677,-5.3301,830,0,0,0
34700,42.2677,-5.3301,830,0,0,0
34800,42.2677,-5.3301,830,0,0,0
34900,42.2677,-5.3301,830,0,0,0
35000,42.2677,-5.3301,830,0,0,0
35100,42.2677,-5.3301,830,0,0,0
35200,42.2677,-5.3301,830,0,0,0
35300,42.2677,-5.3301,830,0,0,0
35400,42.2677,-5.3301,830,0,0,0
35500,42.2677,-5.3301,830,0,0,0
35600,42.2677,-5.3301,830,0,0,0
35700,42.2677,-5.3301,830,0,0,0
35800,42.2677,-5.3301,830,0,0,0
35900,42.2677,-5.3301,830,0,0,0
36000,42.2677,-5.3301,830,0,0,0
36100,42.2677,-5.3301,830,0,0,0
36200,42.2677,-5.3301,830,0,0,0
36300,42.2677,-5.3301,830,0,0,0
36400,42.2677,-5.3301,830,0,0,0
36500,42.2677,-5.3301,830,0,0,0
36600,42.2677,-5.3301,830,0,0,0
36700,42.2677,-5.3301,830,0,0,0
36800,42.2677,-5.3301,830,0,0,0
36900,42.2677,-5.3301,830,0,0,0
37000,42.2677,-5.3301,830,0,0,0
37100,42.2677,-5.3301,830,0,0,0
37200,42.2677,-5.3301,830,0,0,0
37300,42.2677,-5.3301,830,0,0,0
37400,42.2677,-5.3301,830,0,0,0
37500,42.2677,-5.3301,830,0,0,0
37600,42.2677,-5.3301,830,0,0,0
37700,42.2677,-5.3301,830,0,0,0
37800,42.2677,-5.3301,830,0,0,0
37900,42.2677,-5.3301,830,0,0,0
38000,42.2677,-5.3301,830,0,0,0
38100,42.2677,-5.3301,830,0,0,0
38200,42.2677,-5.3301,830,0,0,0
38300,42.2677,-5.3301,830,0,0,0
38400,42.2677,-5.3301,830,0,0,0
38500,42.2677,-5.3301,830,0,0,0
38600,42.2677,-5.3301,830,0,0,0
38700,42.2677,-5.3301,830,0,0,0
38800,42.2677,-5.3301,830,0,0,0
38900,42.2677,-5.3301,830,0,0,0
39000,42.2677,-5.3301,830,0,0,0
39100,42.2677,-5.3301,830,0,0,0
39200,42.2677,-5.3301,830,0,0,0
39300,42.2677,-5.3301,830,0,0,0
39400,42.2677,-5.3301,830,0,0,0
39500,42.2677,-5.3301,830,0,0,0
39600,42.2677,-5.3301,830,0,0,0
39700,42.2677,-5.3301,830,0,0,0
39800,42.2677,-5.3301,830,0,0,0
39900,42.2677,-5.3301,830,0,0,0
40000,42.2677,-5.3301,830,0,0,0
40100,42.2677,-5.3301,830,0,0,0
40200,42.2677,-5.3301,830,0,0,0
40300,42.2677,-5.3301,830,0,0,0
40400,42.2677,-5.3301,830,0,0,0
40500,42.2677,-5.3301,830,0,0,0
40600,42.2677,-5.3301,830,0,0,0
40700,42.2677,-5.3301,830,0,0,0
40800,42.2677,-5.3301,830,0,0,0
40900,42.2677,-5.3301,830,0,0,0
41000,42.2677,-5.3301,830,0,0,0
41100,42.2677,-5.3301,830,0,0,0
41200,42.2677,-5.3301,830,0,0,0
41300,42.2677,-5.3301,830,0,0,0
41400,42.2677,-5.3301,830,0,0,0
41500,42.2677,-5.3301,830,0,0,0
41600,42.2677,-5.3301,830,0,0,0
41700,42.2677,-5.3301,830,0,0,0
41800,42.2677,-5.3301,830,0,0,0
41900,42.2677,-5.3301,830,0,0,0
42000,42.2677,-5.3301,830,0,0,0
42100,42.2677,-5.3301,830,0,0,0
42200,42.2677,-5.3301,830,0,0,0
42300,42.2677,-5.3301,830,0,0,0
42400,42.2677,-5.3301,830,0,0,0
42500,42.2677,-5.3301,830,0,0,0
42600,42.2677,-5.3301,830,0,0,0
42700,42.2677,-5.3301,830,0,0,0
42800,42.2677,-5.3301,830,0,0,0
42900,42.2677,-5.3301,830,0,0,0
43000,42.2677,-5.3301,830,0,0,0
43100,42.2677,-5.3301,830,0,0,0
43200,42.2677,-5.3301,830,0,0,0
43300,42.2677,-5.3301,830,0,0,0
43400,42.2677,-5.3301,830,0,0,0
43500,42.2677,-5.3301,830,0,0,0
43600,42.2677,-5.3301,830,0,0,0
43700,42.2677,-5.3301,830,0,0,0
43800,42.2677,-5.3301,830,0,0,0
43900,42.2677,-5.3301,830,0,0,0
44000,42.2677,-5.3301,830,0,0,0
44100,42.2677,-5.3301,830,0,0,0
44200,42.2677,-5.3301,830,0,0,0
44300,42.2677,-5.3301,830,0,0,0
44400,42.2677,-5.3301,830,0,0,0
44500,42.2677,-5.3301,830,0,0,0
44600,42.2677,-5.3301,830,0,0,0
44700,42.2677,-5.3301,830,0,0,0
44800,42.2677,-5.3301,830,0,0,0
44900,42.2677,-5.3301,830,0,0,0
45000,42.2677,-5.3301,830,0,0,0
45100,42.2677,-5.3301,830,0,0,0
45200,42.2677,-5.3301,830,0,0,0
45300,42.2677,-5.3301,830,0,0,0
45400,42.2677,-5.3301,830,0,0,0
45500,42.2677,-5.3301,830,0,0,0
45600,42.2677,-5.3301,830,0,0,0
45700,42.2677,-5.3301,830,0,0,0
45800,42.2677,-5.3301,830,0,0,0
45900,42.2677,-5.3301,830,0,0,0
46000,42.2677,-5.3301,830,0,0,0
46100,42.2677,-5.3301,830,0,0,0
46200,42.2677,-5.3301,830,0,0,0
46300,42.2677,-5.3301,830,0,0,0
46400,42.2677,-5.3301,830,0,0,0
46500,42.2677,-5.3301,830,0,0,0
46600,42.2677,-5.3301,830,0,0,0
46700,42.2677,-5.3301,830,0,0,0
46800,42.2677,-5.3301,830,0,0,0
46900,42.2677,-5.3301,830,0,0,0
47000,42.2677,-5.3301,830,0,0,0
47100,42.2677,-5.3301,830,0,0,0
47200,42.2677,-5.3301,830,0,0,0
47300,42.2677,-5.3301,830,0,0,0
47400,42.2677,-5.3301,830,0,0,0
47500,42.2677,-5.3301,830,0,0,0
47600,42.2677,-5.3301,830,0,0,0
47700,42.2677,-5.3301,830,0,0,0
47800,42.2677,-5.3301,830,0,0,0
47900,42.2677,-5.3301,830,0,0,0
48000,42.2677,-5.3301,830,0,0,0
48100,42.2677,-5.3301,830,0,0,0
48200,42.2677,-5.3301,830,0,0,0
48300,42.2677,-5.3301,830,0,0,0
48400,42.2677,-5.3301,830,0,0,0
48500,42.2677,-5.3301,830,0,0,0
48600,42.2677,-5.3301,830,0,0,0
48700,42.2677,-5.3301,830,0,0,0
48800,42.2677,-5.3301,830,0,0,0
48900,42.2677,-5.3301,830,0,0,0
49000,42.2677,-5.3301,830,0,0,0
49100,42.2677,-5.3301,830,0,0,0
49200,42.2677,-5.3301,830,0,0,0
49300,42.2677,-5.3301,830,0,0,0
49400,42.2677,-5.3301,830,0,0,0
49500,42.2677,-5.3301,830,0,0,0
49600,42.2677,-5.3301,830,0,0,0
49700,42.2677,-5.3301,830,0,0,0
49800,42.2677,-5.3301,830,0,0,0
49900,42.2677,-5.3301,830,0,0,0
50000,42.2677,-5.3301,830,0,0,0
50100,42.2677,-5.3301,830,0,0,0
50200,42.2677,-5.3301,830,0,0,0
50300,42.2677,-5.3301,830,0,0,0
50400,42.2677,-5.3301,830,0,0,0
50500,42.2677,-5.3301,830,0,0,0
50600,42.2677,-5.3301,830,0,0,0
50700,42.2677,-5.3301,830,0,0,0
50800,42.2677,-5.3301,830,0,0,0
50900,42.2677,-5.3301,830,0,0,0
51000,42.2677,-5.3301,830,0,0,0
51100,42.2677,-5.3301,830,0,0,0
51200,42.2677,-5.3301,830,0,0,0
51300,42.2677,-5.3301,830,0,0,0
51400,42.2677,-5.3301,830,0,0,0
51500,42.2677,-5.3301,830,0,0,0
51600,42.2677,-5.3301,830,0,0,0
51700,42.2677,-5.3301,830,0,0,0
51800,42.2677,-5.3301,830,0,0,0
51900,42.2677,-5.3301,830,0,0,0
52000,42.2677,-5.3301,830,0,0,0
52100,42.2677,-5.3301,830,0,0,0
52200,42.2677,-5.3301,830,0,0,0
52300,42.2677,-5.3301,830,0,0,0
52400,42.2677,-5.3301,830,0,0,0
52500,42.2677,-5.3301,830,0,0,0
52600,42.2677,-5.3301,830,0,0,0
52700,42.2677,-5.3301,830,0,0,0
52800,42.2677,-5.3301,830,0,0,0
52900,42.2677,-5.3301,830,0,0,0
53000,42.2677,-5.3301,830,0,0,0
53100,42.2677,-5.3301,830,0,0,0
53200,42.2677,-5.3301,830,0,0,0
53300,42.2677,-5.3301,830,0,0,0
53400,42.2677,-5.3301,830,0,0,0
53500,42.2677,-5.3301,830,0,0,0
53600,42.2677,-5.3301,830,0,0,0
53700,42.2677,-5.3301,830,0,0,0
53800,42.2677,-5.3301,830,0,0,0
53900,42.2677,-5.3301,830,0,0,0
54000,42.2677,-5.3301,830,0,0,0
54100,42.2677,-5.3301,830,0,0,0
54200,42.2677,-5.3301,830,0,0,0
54300,42.2677,-5.3301,830,0,0,0
54400,42.2677,-5.3301,830,0,0,0
54500,42.2677,-5.3301,830,0,0,0
54600,42.2677,-5.3301,830,0,0,0
54700,42.2677,-5.3301,830,0,0,0
54800,42.2677,-5.3301,830,0,0,0
54900,42.2677,-5.3301,830,0,0,0
55000,42.2677,-5.3301,830,0,0,0
55100,42.2677,-5.3301,830,0,0,0
55200,42.2677,-5.3301,830,0,0,0
55300,42.2677,-5.3301,830,0,0,0
55400,42.2677,-5.3301,830,0,0,0
55500,42.2677,-5.3301,830,0,0,0
55600,42.2677,-5.3301,830,0,0,0
55700,42.2677,-5.3301,830,0,0,0
55800,42.2677,-5.3301,830,0,0,0
55900,42.2677,-5.3301,830,0,0,0
56000,42.2677,-5.3301,830,0,0,0
56100,42.2677,-5.3301,830,0,0,0
56200,42.2677,-5.3301,830,0,0,0
56300,42.2677,-5.3301,830,0,0,0
56400,42.2677,-5.3301,830,0,0,0
56500,42.2677,-5.3301,830,0,0,0
56600,42.2677,-5.3301,830,0,0,0
56700,42.2677,-5.3301,830,0,0,0
56800,42.2677,-5.3301,830,0,0,0
56900,42.2677,-5.3301,830,0,0,0
57000,42.2677,-5.3301,830,0,0,0
57100,42.2677,-5.3301,830,0,0,0
57200,42.2677,-5.3301,830,0,0,0
57300,42.2677,-5.3301,830,0,0,0
57400,42.2677,-5.3301,830,0,0,0
57500,42.2677,-5.3301,830,0,0,0
57600,42.2677,-5.3301,830,0,0,0
57700,42.2677,-5.3301,830,0,0,0
57800,42.2677,-5.3301,830,0,0,0
57900,42.2677,-5.3301,830,0,0,0
58000,42.2677,-5.3301,830,0,0,0
58100,42.2677,-5.3301,830,0,0,0
58200,42.2677,-5.3301,830,0,0,0
58300,42.2677,-5.3301,830,0,0,0
58400,42.2677,-5.3301,830,0,0,0
58500,42.2677,-5.3301,830,0,0,0
58600,42.2677,-5.3301,830,0,0,0
58700,42.2677,-5.3301,830,0,0,0
58800,42.2677,-5.3301,830,0,0,0
58900,42.2677,-5.3301,830,0,0,0
59000,42.2677,-5.3301,830,0,0,0
59100,42.2677,-5.3301,830,0,0,0
59200,42.2677,-5.3301,830,0,0,0
59300,42.2677,-5.3301,830,0,0,0
59400,42.2677,-5.3301,830,0,0,0
59500,42.2677,-5.3301,830,0,0,0
59600,42.2677,-5.3301,830,0,0,0
59700,42.2677,-5.3301,830,0,0,0
59800,42.2677,-5.3301,830,0,0,0
59900,42.2677,-5.3301,830,0,0,0
60000,42.2677,-5.3301,830,0,0,0
60100,42.2677,-5.3301,830,0,0,0
60200,42.2677,-5.3301,830,0,0,0
60300,42.2677,-5.3301,830,0,0,0
60400,42.2677,-5.3301,830,0,0,0
60500,42.2677,-5.3301,830,0,0,0
60600,42.2677,-5.3301,830,0,0,0
60700,42.2677,-5.3301,830,0,0,0
60800,42.2677,-5.3301,830,0,0,0
60900,42.2677,-5.3301,830,0,0,0
61000,42.2677,-5.3301,830,0,0,0
61100,42.2677,-5.3301,830,0,0,0
61200,42.2677,-5.3301,830,0,0,0
61300,42.2677,-5.3301,830,0,0,0
61400,42.2677,-5.3301,830,0,0,0
61500,42.2677,-5.3301,830,0,0,0
61600,42.2677,-5.3301,830,0,0,0
61700,42.2677,-5.3301,830,0,0,0
61800,42.2677,-5.3301,830,0,0,0
61900,42.2677,-5.3301,830,0,0,0
62000,42.2677,-5.3301,830,0,0,0
62100,42.2677,-5.3301,830,0,0,0
62200,42.2677,-5.3301,830,0,0,0
62300,42.2677,-5.3301,830,0,0,0
62400,42.2677,-5.3301,830,0,0,0
62500,42.2677,-5.3301,830,0,0,0
62600,42.2677,-5.3301,830,0,0,0
62700,42.2677,-5.3301,830,0,0,0
62800,42.2677,-5.3301,830,0,0,0
62900,42.2677,-5.3301,830,0,0,0
63000,42.2677,-5.3301,830,0,0,0
